circ;ano;pop
110;2001;140455
111;2001;14247
112;2001;15491
118;2001;85343
119;2001;50248
120;2001;21273
121;2001;23212
122;2001;19012
123;2001;161761
124;2001;54314
125;2001;65343
126;2001;156030
127;2001;18975
128;2001;40513
129;2001;15728
134;2001;261281
135;2001;22993
136;2001;47092
137;2001;27042
138;2001;7866
139;2001;16124
140;2001;23123
141;2001;36864
142;2001;14686
143;2001;119415
144;2001;33827
145;2001;28151
146;2001;192221
151;2001;174266
152;2001;10392
153;2001;19834
154;2001;23699
155;2001;8450
156;2001;10460
157;2001;10063
158;2001;22906
159;2001;49088
165;2001;25869
166;2001;123516
167;2001;30260
168;2001;16344
1;2002;1539
4;2002;29677
5;2002;35521
6;2002;75981
7;2002;38512
9;2002;128442
10;2002;97146
12;2002;86314
13;2002;65369
14;2002;83550
15;2002;139593
16;2002;286444
17;2002;75567
18;2002;63724
19;2002;131128
20;2002;154377
21;2002;250543
22;2002;225624
23;2002;86802
24;2002;91283
25;2002;122279
26;2002;109561
27;2002;178766
28;2002;162064
29;2002;98593
30;2002;118387
31;2002;148979
32;2002;347274
33;2002;228672
34;2002;402786
35;2002;675832
36;2002;293557
37;2002;200035
38;2002;196462
39;2002;165985
40;2002;104999
41;2002;134636
44;2002;111618
48;2002;67662
50;2002;86820
51;2002;41725
52;2002;172993
53;2002;168108
54;2002;441232
55;2002;210621
56;2002;257421
57;2002;154448
58;2002;340640
59;2002;326569
60;2002;262356
61;2002;55947
62;2002;145886
64;2002;451301
65;2002;120652
66;2002;129646
71;2002;220153
72;2002;314758
73;2002;152301
74;2002;199141
75;2002;245653
76;2002;72853
77;2002;138146
78;2002;120088
79;2002;69462
81;2002;64391
82;2002;84934
88;2002;89724
89;2002;107430
90;2002;172142
91;2002;67380
92;2002;7804
93;2002;245132
94;2002;42989
95;2002;32022
96;2002;49258
97;2002;17416
98;2002;12371
99;2002;25500
100;2002;23999
104;2002;19469
105;2002;245356
106;2002;43033
107;2002;38118
108;2002;91197
109;2002;17230
110;2002;142870
111;2002;14318
112;2002;15696
118;2002;87960
119;2002;50811
120;2002;21282
121;2002;24322
122;2002;19244
123;2002;169033
124;2002;56233
125;2002;67530
126;2002;161555
127;2002;19778
128;2002;45067
129;2002;16395
134;2002;264713
135;2002;22982
136;2002;47480
137;2002;27020
138;2002;7823
139;2002;16298
140;2002;23271
141;2002;36939
142;2002;14701
143;2002;120492
144;2002;33999
145;2002;28628
146;2002;194226
151;2002;175117
152;2002;10451
153;2002;19834
154;2002;23914
155;2002;8498
156;2002;10445
157;2002;10088
158;2002;23164
159;2002;49638
165;2002;26874
166;2002;127937
167;2002;30993
168;2002;16461
1;2003;1551
4;2003;29903
5;2003;35792
6;2003;76561
7;2003;38806
9;2003;129422
10;2003;97888
12;2003;86972
13;2003;65868
14;2003;84187
15;2003;140658
16;2003;288630
17;2003;76144
18;2003;64210
19;2003;132128
20;2003;155555
21;2003;252454
22;2003;227345
23;2003;87464
24;2003;91979
25;2003;123212
26;2003;110397
27;2003;180129
28;2003;163300
29;2003;99345
30;2003;119290
31;2003;150116
32;2003;349924
33;2003;230416
34;2003;405859
35;2003;514000
36;2003;295797
37;2003;201561
38;2003;197961
39;2003;167252
40;2003;105800
41;2003;135663
43;2003;166988
44;2003;112470
48;2003;68896
50;2003;89334
51;2003;42365
52;2003;173690
53;2003;168141
54;2003;444650
55;2003;213348
56;2003;258458
57;2003;154817
58;2003;342013
59;2003;329776
60;2003;264932
61;2003;56497
62;2003;147318
64;2003;452216
65;2003;122702
66;2003;130940
71;2003;223539
72;2003;318398
73;2003;154063
74;2003;201444
75;2003;248495
76;2003;73287
77;2003;138969
78;2003;120803
79;2003;69875
81;2003;64775
82;2003;89355
88;2003;90341
89;2003;108900
90;2003;172841
91;2003;67922
92;2003;7895
93;2003;246681
94;2003;43702
95;2003;32311
96;2003;49473
97;2003;17480
98;2003;12476
99;2003;25889
100;2003;24610
104;2003;19565
105;2003;246148
106;2003;43172
107;2003;38476
108;2003;91905
109;2003;17267
110;2003;145327
111;2003;14389
112;2003;15903
118;2003;90658
119;2003;51381
120;2003;21290
121;2003;25486
122;2003;19480
123;2003;176634
124;2003;58219
125;2003;69790
126;2003;167288
127;2003;20616
128;2003;50133
129;2003;17090
134;2003;268191
135;2003;22972
136;2003;47873
137;2003;26998
138;2003;7780
139;2003;16474
140;2003;23421
141;2003;37014
142;2003;14717
143;2003;121580
144;2003;34172
145;2003;29113
146;2003;196258
151;2003;175973
152;2003;10509
153;2003;19833
154;2003;24130
155;2003;8547
156;2003;10429
157;2003;10113
158;2003;23424
159;2003;50195
165;2003;27918
166;2003;132517
167;2003;31743
168;2003;16578
1;2004;1563
4;2004;30132
5;2004;36065
6;2004;77145
7;2004;39102
9;2004;130409
10;2004;98634
12;2004;87636
13;2004;66370
14;2004;84829
15;2004;141731
16;2004;290831
17;2004;76724
18;2004;64700
19;2004;133136
20;2004;156741
21;2004;254380
22;2004;229079
23;2004;88131
24;2004;92681
25;2004;124152
26;2004;111239
27;2004;181504
28;2004;164546
29;2004;100103
30;2004;120200
31;2004;151261
32;2004;352593
33;2004;232174
34;2004;408955
35;2004;517921
36;2004;298054
37;2004;203099
38;2004;199471
39;2004;168527
40;2004;106607
41;2004;136698
43;2004;168262
44;2004;113328
48;2004;70152
50;2004;91921
51;2004;43014
52;2004;174389
53;2004;168175
54;2004;448095
55;2004;128146
56;2004;259499
57;2004;155187
58;2004;343390
59;2004;333014
60;2004;267533
61;2004;57051
62;2004;148765
63;2004;87964
64;2004;453132
65;2004;124799
66;2004;132247
71;2004;226976
72;2004;322081
73;2004;155845
74;2004;203774
75;2004;251369
76;2004;73724
77;2004;139797
78;2004;121523
79;2004;70291
81;2004;65161
82;2004;94006
88;2004;90962
89;2004;110390
90;2004;173543
91;2004;68469
92;2004;7986
93;2004;248240
94;2004;23709
95;2004;32603
96;2004;49688
97;2004;17545
98;2004;12582
99;2004;26284
100;2004;25237
101;2004;20717
104;2004;19661
105;2004;246942
106;2004;43311
107;2004;38838
108;2004;92619
109;2004;17303
110;2004;147825
111;2004;14461
112;2004;16113
118;2004;93439
119;2004;51957
120;2004;21299
121;2004;26705
122;2004;19718
123;2004;184576
124;2004;60276
125;2004;72125
126;2004;173236
127;2004;21489
128;2004;55768
129;2004;17814
134;2004;271714
135;2004;22961
136;2004;48273
137;2004;26975
138;2004;7737
139;2004;16652
140;2004;23574
141;2004;37089
142;2004;14733
143;2004;122678
144;2004;34347
145;2004;29607
146;2004;157087
147;2004;41228
151;2004;176833
152;2004;10568
153;2004;19833
154;2004;24348
155;2004;8596
156;2004;10414
157;2004;10138
158;2004;23688
159;2004;50759
165;2004;29003
166;2004;137261
167;2004;32512
168;2004;16697
1;2005;1575
4;2005;30361
5;2005;36340
6;2005;77733
7;2005;39400
9;2005;131404
10;2005;99387
12;2005;88305
13;2005;66876
14;2005;85476
15;2005;142812
16;2005;293050
17;2005;77310
18;2005;65194
19;2005;134151
20;2005;157937
21;2005;256321
22;2005;230827
23;2005;88804
24;2005;93388
25;2005;125099
26;2005;112088
27;2005;182888
28;2005;165801
29;2005;100866
30;2005;121117
31;2005;152415
32;2005;355283
33;2005;233945
34;2005;412075
35;2005;521872
36;2005;300327
37;2005;204648
38;2005;200993
39;2005;169813
40;2005;107420
41;2005;137741
43;2005;169545
44;2005;114192
48;2005;71431
50;2005;94582
51;2005;43673
52;2005;175092
53;2005;168208
54;2005;451567
55;2005;129732
56;2005;260545
57;2005;155557
58;2005;344774
59;2005;336283
60;2005;270160
61;2005;57611
62;2005;150225
63;2005;89176
64;2005;454051
65;2005;126945
66;2005;133567
71;2005;230466
72;2005;325807
73;2005;157648
74;2005;206131
75;2005;254277
76;2005;74163
77;2005;140629
78;2005;122247
79;2005;70710
81;2005;65549
82;2005;98899
88;2005;91587
89;2005;111901
90;2005;174247
91;2005;69020
92;2005;8079
93;2005;249809
94;2005;24125
95;2005;32897
96;2005;49904
97;2005;17609
98;2005;12689
99;2005;26685
100;2005;25882
101;2005;21038
104;2005;19759
105;2005;247738
106;2005;43451
107;2005;39204
108;2005;93339
109;2005;17340
110;2005;150367
111;2005;14533
112;2005;16326
118;2005;96305
119;2005;52539
120;2005;21307
121;2005;27982
122;2005;19960
123;2005;192876
124;2005;62405
125;2005;74539
126;2005;179409
127;2005;22399
128;2005;62037
129;2005;18569
134;2005;275284
135;2005;22951
136;2005;48678
137;2005;26953
138;2005;7695
139;2005;16832
140;2005;23730
141;2005;37164
142;2005;14748
143;2005;123788
144;2005;34522
145;2005;30108
146;2005;159151
147;2005;41249
151;2005;177697
152;2005;10628
153;2005;19832
154;2005;24568
155;2005;8645
156;2005;10398
157;2005;10163
158;2005;23954
159;2005;51328
165;2005;30130
166;2005;142175
167;2005;33300
168;2005;16816
1;2006;1587
4;2006;30593
5;2006;36618
6;2006;78326
7;2006;39701
9;2006;132406
10;2006;100145
12;2006;88978
13;2006;67387
14;2006;86129
15;2006;143901
16;2006;295286
17;2006;77900
18;2006;65691
19;2006;135175
20;2006;159142
21;2006;258276
22;2006;232588
23;2006;89481
24;2006;94100
25;2006;126053
26;2006;112943
27;2006;184283
28;2006;167066
29;2006;101636
30;2006;122041
31;2006;153578
32;2006;357993
33;2006;235730
34;2006;415219
35;2006;525853
36;2006;302618
37;2006;206209
38;2006;202526
39;2006;171109
40;2006;108240
41;2006;138792
43;2006;170839
44;2006;115063
48;2006;72734
50;2006;97321
51;2006;44342
52;2006;175797
53;2006;168242
54;2006;455065
55;2006;131338
56;2006;261594
57;2006;155929
58;2006;346163
59;2006;339585
60;2006;272812
61;2006;58177
62;2006;151700
63;2006;90405
64;2006;454972
65;2006;129139
66;2006;134900
71;2006;234010
72;2006;329575
73;2006;159471
74;2006;208516
75;2006;257218
76;2006;74605
77;2006;141467
78;2006;122975
79;2006;71131
81;2006;65939
82;2006;104047
88;2006;92216
89;2006;113432
90;2006;174955
91;2006;69576
92;2006;8174
93;2006;251388
94;2006;24548
95;2006;33194
96;2006;50122
97;2006;17674
98;2006;12797
99;2006;27092
100;2006;26545
101;2006;21364
104;2006;19856
105;2006;248538
106;2006;43591
107;2006;39573
108;2006;94065
109;2006;17377
110;2006;152952
111;2006;14606
112;2006;16542
118;2006;99259
119;2006;53128
120;2006;21315
121;2006;29321
122;2006;20204
123;2006;201549
124;2006;64609
125;2006;77034
126;2006;185813
127;2006;23347
128;2006;69011
129;2006;19356
134;2006;278900
135;2006;22941
136;2006;49090
137;2006;26931
138;2006;7653
139;2006;17013
140;2006;23889
141;2006;37240
142;2006;14764
143;2006;124909
144;2006;34698
145;2006;30618
146;2006;161242
147;2006;41270
151;2006;178566
152;2006;10688
153;2006;19832
154;2006;24790
155;2006;8694
156;2006;10383
157;2006;10188
158;2006;24224
159;2006;51904
165;2006;31300
166;2006;147264
167;2006;34106
168;2006;16936
1;2007;1599
4;2007;30826
5;2007;36897
6;2007;78924
7;2007;40003
9;2007;133416
10;2007;100909
12;2007;89657
13;2007;67901
14;2007;86786
15;2007;144999
16;2007;297538
17;2007;78494
18;2007;66192
19;2007;136206
20;2007;160356
21;2007;260246
22;2007;234362
23;2007;90164
24;2007;94818
25;2007;127015
26;2007;113805
27;2007;185689
28;2007;168341
29;2007;102411
30;2007;122972
31;2007;154749
32;2007;360724
33;2007;237528
34;2007;418386
35;2007;529865
36;2007;304927
37;2007;207782
38;2007;204071
39;2007;172414
40;2007;109065
41;2007;139851
43;2007;172142
44;2007;115941
48;2007;74060
50;2007;100139
51;2007;45022
52;2007;176506
53;2007;168275
54;2007;458591
55;2007;132963
56;2007;262648
57;2007;156302
58;2007;347557
59;2007;342919
60;2007;275491
61;2007;58748
62;2007;153190
63;2007;91651
64;2007;455894
65;2007;131384
66;2007;136247
71;2007;237609
72;2007;333388
73;2007;161316
74;2007;210928
75;2007;260193
76;2007;75049
77;2007;142310
78;2007;123707
79;2007;71555
81;2007;66332
82;2007;109463
88;2007;92850
89;2007;114984
90;2007;175665
91;2007;70136
92;2007;8269
93;2007;252976
94;2007;24978
95;2007;33494
96;2007;50340
97;2007;17739
98;2007;12906
99;2007;27505
100;2007;27226
101;2007;21695
104;2007;19954
105;2007;249340
106;2007;43732
107;2007;39945
108;2007;94798
109;2007;17414
110;2007;155582
111;2007;14679
112;2007;16761
118;2007;102303
119;2007;53724
120;2007;21324
121;2007;30723
122;2007;20451
123;2007;210614
124;2007;66892
125;2007;79612
126;2007;192460
127;2007;24336
128;2007;76768
129;2007;20176
134;2007;282564
135;2007;22930
136;2007;49508
137;2007;26909
138;2007;7611
139;2007;17197
140;2007;24051
141;2007;37315
142;2007;14780
143;2007;126041
144;2007;34875
145;2007;31137
146;2007;163360
147;2007;41291
151;2007;179438
152;2007;10748
153;2007;19831
154;2007;25014
155;2007;8744
156;2007;10367
157;2007;10213
158;2007;24497
159;2007;52486
165;2007;32516
166;2007;152536
167;2007;34933
168;2007;17057
1;2008;1611
4;2008;31062
5;2008;37178
6;2008;79526
7;2008;40309
9;2008;134434
10;2008;101679
12;2008;90341
13;2008;68419
14;2008;87448
15;2008;146105
16;2008;299808
17;2008;79093
18;2008;66697
19;2008;137245
20;2008;161579
21;2008;262232
22;2008;236150
23;2008;90852
24;2008;95542
25;2008;127984
26;2008;114673
27;2008;187106
28;2008;169625
29;2008;103193
30;2008;123910
31;2008;155930
32;2008;363476
33;2008;239340
34;2008;421578
35;2008;533907
36;2008;307253
37;2008;209367
38;2008;205628
39;2008;173729
40;2008;109897
41;2008;140918
43;2008;173455
44;2008;116826
48;2008;75411
50;2008;103038
51;2008;45712
52;2008;177217
53;2008;168309
54;2008;462144
55;2008;134609
56;2008;263706
57;2008;156675
58;2008;348957
59;2008;346286
60;2008;278196
61;2008;59325
62;2008;154694
63;2008;92914
64;2008;456819
65;2008;133681
66;2008;137607
71;2008;241263
72;2008;337244
73;2008;163182
74;2008;213367
75;2008;263203
76;2008;75496
77;2008;143157
78;2008;124444
79;2008;71981
81;2008;66727
82;2008;115160
88;2008;93488
89;2008;116557
90;2008;176378
91;2008;70700
92;2008;8365
93;2008;254575
94;2008;25416
95;2008;33797
96;2008;50559
97;2008;17804
98;2008;13015
99;2008;27924
100;2008;27926
101;2008;22031
104;2008;20053
105;2008;250144
106;2008;43873
107;2008;40321
108;2008;95537
109;2008;17451
110;2008;158257
111;2008;14752
112;2008;16982
118;2008;105441
119;2008;54326
120;2008;21332
121;2008;32193
122;2008;20701
123;2008;189120
124;2008;69255
125;2008;82276
126;2008;199357
127;2008;25366
128;2008;85398
129;2008;21031
130;2008;30966
134;2008;286276
135;2008;22920
136;2008;49933
137;2008;26887
138;2008;7570
139;2008;17383
140;2008;24217
141;2008;37391
142;2008;14795
143;2008;127185
144;2008;35053
145;2008;31665
146;2008;165506
147;2008;41312
151;2008;180315
152;2008;10808
153;2008;19831
154;2008;25240
155;2008;8794
156;2008;10352
157;2008;10238
158;2008;24772
159;2008;53075
165;2008;33780
166;2008;157997
167;2008;35779
168;2008;17179
1;2009;1623
4;2009;31299
5;2009;37462
6;2009;80133
7;2009;40616
9;2009;135460
10;2009;102454
12;2009;91030
13;2009;68941
14;2009;88115
15;2009;147220
16;2009;302095
17;2009;79696
18;2009;67206
19;2009;138292
20;2009;162812
21;2009;264232
22;2009;237952
23;2009;91545
24;2009;96271
25;2009;128960
26;2009;115548
27;2009;188533
28;2009;170919
29;2009;103980
30;2009;124856
31;2009;157119
32;2009;366249
33;2009;241166
34;2009;424794
35;2009;537980
36;2009;309597
37;2009;210965
38;2009;207196
39;2009;175055
40;2009;110736
41;2009;141993
43;2009;174779
44;2009;117717
48;2009;76786
50;2009;106021
51;2009;46413
52;2009;177931
53;2009;168342
54;2009;465724
55;2009;136275
56;2009;264769
57;2009;157050
58;2009;350363
59;2009;349686
60;2009;280927
61;2009;59908
62;2009;156213
63;2009;94194
64;2009;457745
65;2009;136032
66;2009;138980
71;2009;244973
72;2009;341145
73;2009;165069
74;2009;215835
75;2009;266247
76;2009;75946
77;2009;144010
78;2009;125185
79;2009;72410
81;2009;67124
82;2009;121155
88;2009;94131
89;2009;118152
90;2009;177094
91;2009;71269
92;2009;8462
93;2009;256184
94;2009;25861
95;2009;34102
96;2009;50780
97;2009;17869
98;2009;13126
99;2009;28350
100;2009;28646
101;2009;22372
104;2009;20152
105;2009;250951
106;2009;44014
107;2009;40701
108;2009;96283
109;2009;17488
110;2009;160978
111;2009;14826
112;2009;17207
118;2009;108675
119;2009;54935
120;2009;21341
121;2009;33733
122;2009;20955
123;2009;197728
124;2009;71701
125;2009;85029
126;2009;206514
127;2009;26440
128;2009;94997
129;2009;21922
130;2009;32257
134;2009;290037
135;2009;22909
136;2009;50364
137;2009;26865
138;2009;7528
139;2009;17570
140;2009;24385
141;2009;37467
142;2009;14811
143;2009;128340
144;2009;35231
145;2009;32201
146;2009;167681
147;2009;41333
151;2009;181196
152;2009;10869
153;2009;19830
154;2009;25469
155;2009;8844
156;2009;10336
157;2009;10264
158;2009;25051
159;2009;53671
165;2009;35092
166;2009;163653
167;2009;36645
168;2009;17301
1;2010;1636
4;2010;31537
5;2010;37748
6;2010;80744
7;2010;40926
9;2010;136493
10;2010;103236
12;2010;91725
13;2010;69466
14;2010;88787
15;2010;148343
16;2010;175157
17;2010;80304
18;2010;67719
19;2010;139347
20;2010;164054
21;2010;266248
22;2010;239767
23;2010;92243
24;2010;97005
25;2010;129944
26;2010;116429
27;2010;189972
28;2010;172223
29;2010;104773
30;2010;125808
31;2010;158318
32;2010;369043
33;2010;243006
34;2010;428035
35;2010;542084
36;2010;311959
37;2010;212574
38;2010;208777
39;2010;176390
40;2010;111580
41;2010;143076
42;2010;129243
43;2010;176112
44;2010;118615
48;2010;78186
50;2010;109091
51;2010;47124
52;2010;178647
53;2010;168376
54;2010;469332
55;2010;137962
56;2010;265835
57;2010;157425
58;2010;351775
59;2010;353120
60;2010;283686
61;2010;60496
62;2010;157747
63;2010;95492
64;2010;458673
65;2010;138437
66;2010;140368
71;2010;248740
72;2010;345091
73;2010;166979
74;2010;218332
75;2010;269327
76;2010;76398
77;2010;144868
78;2010;125931
79;2010;72841
81;2010;67524
82;2010;127461
88;2010;94778
89;2010;119769
90;2010;177813
91;2010;71843
92;2010;8561
93;2010;257803
94;2010;26314
95;2010;34410
96;2010;51001
97;2010;17935
98;2010;13237
99;2010;28783
100;2010;29385
101;2010;22719
104;2010;20251
105;2010;251761
106;2010;44156
107;2010;41084
108;2010;97035
109;2010;17525
110;2010;163746
111;2010;14900
112;2010;17434
118;2010;112008
119;2010;55551
120;2010;21349
121;2010;35347
122;2010;21211
123;2010;206728
124;2010;74234
125;2010;87875
126;2010;213942
127;2010;27560
128;2010;105676
129;2010;22851
130;2010;33601
134;2010;293848
135;2010;22899
136;2010;50802
137;2010;26843
138;2010;7487
139;2010;17760
140;2010;24557
141;2010;37543
142;2010;14827
143;2010;129507
144;2010;35411
145;2010;32747
146;2010;169883
147;2010;41354
151;2010;182082
152;2010;10930
153;2010;19830
154;2010;25699
155;2010;8895
156;2010;10321
157;2010;10289
158;2010;25333
159;2010;54273
165;2010;36456
166;2010;169511
167;2010;37533
168;2010;17425
1;2011;1645
4;2011;31714
5;2011;37960
6;2011;81198
7;2011;41156
9;2011;137260
10;2011;103816
12;2011;92240
13;2011;69857
14;2011;89286
15;2011;149176
16;2011;176141
17;2011;80755
18;2011;68099
19;2011;140130
20;2011;164976
21;2011;267744
22;2011;241114
23;2011;92761
24;2011;97550
25;2011;130674
26;2011;117083
27;2011;191039
28;2011;173190
29;2011;105362
30;2011;126515
31;2011;159207
32;2011;371116
33;2011;244371
34;2011;430439
35;2011;545129
36;2011;313711
37;2011;213768
38;2011;209950
39;2011;177381
40;2011;112207
41;2011;143880
42;2011;129969
43;2011;177101
44;2011;119281
48;2011;79179
50;2011;111171
51;2011;47635
52;2011;179273
53;2011;168966
54;2011;472008
55;2011;139188
56;2011;266767
57;2011;157710
58;2011;353007
59;2011;355643
60;2011;285713
61;2011;60928
62;2011;158874
63;2011;96430
64;2011;459379
65;2011;87586
66;2011;141386
67;2011;52522
70;2011;31091
71;2011;220352
72;2011;347968
73;2011;168371
74;2011;220153
75;2011;271573
76;2011;76736
77;2011;145509
78;2011;126488
79;2011;73164
81;2011;67823
82;2011;131355
88;2011;95260
89;2011;120938
90;2011;178355
91;2011;72268
92;2011;8633
93;2011;259012
94;2011;26637
95;2011;34638
96;2011;51168
97;2011;17981
98;2011;13324
99;2011;29094
100;2011;29890
101;2011;22968
104;2011;20398
105;2011;252312
106;2011;44253
107;2011;41367
108;2011;97591
109;2011;17554
110;2011;165716
111;2011;14956
112;2011;17599
118;2011;114250
119;2011;56001
120;2011;21356
121;2011;36360
122;2011;21416
123;2011;212433
124;2011;75906
125;2011;89739
126;2011;190787
127;2011;28279
128;2011;110992
129;2011;23475
130;2011;34444
132;2011;28010
134;2011;296608
135;2011;22892
136;2011;51117
137;2011;26827
138;2011;7455
139;2011;17899
140;2011;24679
141;2011;37601
142;2011;14840
143;2011;103591
144;2011;35546
145;2011;33136
146;2011;171479
147;2011;41371
148;2011;26775
151;2011;182748
152;2011;10976
153;2011;19830
154;2011;25870
155;2011;8933
156;2011;10310
157;2011;10309
158;2011;25539
159;2011;54713
165;2011;37343
166;2011;173370
167;2011;38147
168;2011;17517
1;2012;1654
4;2012;31886
5;2012;38165
6;2012;81636
7;2012;41378
9;2012;138001
10;2012;104377
12;2012;92738
13;2012;70234
14;2012;89768
15;2012;149982
16;2012;177093
17;2012;81191
18;2012;68467
19;2012;140887
20;2012;165867
21;2012;269190
22;2012;242417
23;2012;93262
24;2012;98077
25;2012;131380
26;2012;117716
27;2012;192071
28;2012;174126
29;2012;105931
30;2012;127198
31;2012;160067
32;2012;373121
33;2012;245691
34;2012;432765
35;2012;548074
36;2012;315406
37;2012;214923
38;2012;211084
39;2012;178339
40;2012;112814
41;2012;144657
42;2012;130671
43;2012;178058
44;2012;119926
48;2012;80138
50;2012;113182
51;2012;48129
52;2012;179879
53;2012;169537
54;2012;474596
55;2012;140374
56;2012;267668
57;2012;157986
58;2012;354199
59;2012;358084
60;2012;287673
61;2012;61346
62;2012;159964
63;2012;97337
64;2012;460062
65;2012;88196
66;2012;142372
67;2012;53527
70;2012;31438
71;2012;222618
72;2012;350752
73;2012;169718
74;2012;221913
75;2012;273745
76;2012;77063
77;2012;146129
78;2012;127027
79;2012;73475
81;2012;68112
82;2012;135121
88;2012;95726
89;2012;122068
90;2012;178880
91;2012;72679
92;2012;8703
93;2012;260180
94;2012;26948
95;2012;34858
96;2012;51329
97;2012;18024
98;2012;13408
99;2012;29394
100;2012;30377
101;2012;23208
104;2012;20540
105;2012;252845
106;2012;44347
107;2012;41639
108;2012;98129
109;2012;17581
110;2012;167622
111;2012;15010
112;2012;17758
118;2012;116418
119;2012;56436
120;2012;21362
121;2012;37340
122;2012;21613
123;2012;217951
124;2012;77522
125;2012;91542
126;2012;195197
127;2012;28973
128;2012;116134
129;2012;24079
130;2012;35258
132;2012;28295
134;2012;299277
135;2012;22884
136;2012;51421
137;2012;26810
138;2012;7424
139;2012;18034
140;2012;24796
141;2012;37657
142;2012;14851
143;2012;104312
144;2012;35677
145;2012;33512
146;2012;173023
147;2012;41386
148;2012;26882
151;2012;183391
152;2012;11020
153;2012;19830
154;2012;26034
155;2012;8970
156;2012;10298
157;2012;10327
158;2012;25738
159;2012;55139
165;2012;38201
166;2012;177101
167;2012;38740
168;2012;17606
1;2013;1664
4;2013;32084
5;2013;38402
6;2013;82143
7;2013;41635
9;2013;138857
10;2013;105024
12;2013;93313
13;2013;70670
14;2013;90325
15;2013;150912
16;2013;178191
17;2013;81695
18;2013;68892
19;2013;141761
20;2013;166896
21;2013;270860
22;2013;243920
23;2013;93841
24;2013;98685
25;2013;132195
26;2013;118446
27;2013;193262
28;2013;175206
29;2013;106588
30;2013;127987
31;2013;161060
32;2013;375435
33;2013;247215
34;2013;435449
35;2013;551473
36;2013;317362
37;2013;216256
38;2013;212393
39;2013;179445
40;2013;113513
41;2013;145554
42;2013;131482
43;2013;179162
44;2013;120670
48;2013;81260
50;2013;115542
51;2013;48705
52;2013;180567
53;2013;170185
54;2013;477583
55;2013;141753
56;2013;268692
57;2013;158288
58;2013;355555
59;2013;360914
60;2013;289947
61;2013;61831
62;2013;161229
63;2013;98393
64;2013;460799
